id_operacion;fecha;cod_vendedor;cod_cliente;cod_producto;cantidad;precio_unitario;descuento_pct;canal;estado
OP-10070;02/06/2026;VEN-02;CLI-1013;PRD-412;3;9.900,00;0;Preventa;entregado
OP-10086;02/06/2026;VEN-02;CLI-1013;PRD-204;5;12.300,00;0;Preventa;Entregado
OP-10102;02/06/2026;VEN-05;CLI-1027;PRD-330;8;6.700,00;0;Preventa;Entregado
OP-10120;02/06/2026;VEN-02;CLI-1013;PRD-091;2;4.980,00;0;Preventa;Entregado
OP-10154;02/06/2026;VEN-05;CLI-1015;prd-118;1;8.450,00;0;Preventa;Entregado
OP-10173;02/06/2026;VEN-02;CLI-1013;PRD-204;3;12.300,00;;WhatsApp;Pendiente
OP-10195;02/06/2026;VEN-02;CLI-1013;PRD-412;3;9.900,00;0;Telefónico;Entregado
OP-10259;2026-06-02;VEN-01;CLI-1019;PRD-091;44;4.980,00;10;WhatsApp;Entregado
OP-10259;2026-06-02;VEN-01;CLI-1019;PRD-091;44;4.980,00;10;WhatsApp;Entregado
OP-10289;02/06/2026;VEN-05;CLI-1008;PRD-091;11;4.980,00;10;Telefónico;Entregado
OP-10298;02/06/2026;VEN-01;CLI-1002;PRD-660;11;7.300,00;1;Preventa;entregado
OP-10312;02/06/2026;VEN-05;CLI-1008;PRD-118;9;8.450,00;0;Preventa;Entreg.
OP-10395;02/06/2026;VEN-02;CLI-1013;PRD-330;5;6.700,00;;WhatsApp;Entregado
OP-10415;02/06/2026;VEN-06;CLI-1050;PRD-204;5;12.300,00;0;E-commerce;Entregado
OP-10424;02/06/2026;VEN-02;CLI-1013;PRD-204;7;12.300,00;0;Telefónico;Entregado
OP-10026;03/06/2026;VEN-04;CLI-1021;PRD-330;15;6.700,00;3;Preventa;Entregado
OP-10027;03/06/2026;VEN-01;CLI-1032;PRD-204;-6;12.300,00;;Telefónico;Entregado
OP-10028;03/06/2026;VEN-06;CLI-1050;PRD-091;20;4.980,00;6;E-commerce;Anulado
OP-10054;03/06/2026;VEN-03;CLI-1019;PRD-091;4;4.980,00;;WhatsApp;ENTREGADO
OP-10061;03/06/2026;VEN-06;CLI-1050;PRD-091;9;4.980,00;0;Preventa;Entreg.
OP-10073;03/06/2026;VEN-03;CLI-1036;PRD-118;10;8.450,00;3;WhatsApp;ENTREGADO
OP-10121;03/06/2026;VEN-06;CLI-1050;PRD-118;6;8.450,00;0;E-commerce;Pendiente
OP-10126;03/06/2026;VEN-03;CLI-1032;PRD-330;12;6.700,00;3;Telefónico;ENTREGADO
OP-10225;03/06/2026;VEN-01;CLI-1019;PRD-204;22;12.300,00;14;Telefónico;Entregado
OP-10240;03/06/2026;VEN-05;CLI-1027;PRD-412;1;0;0;Preventa;Anulado
OP-10246;03/06/2026;VEN-03;CLI-1007;PRD-204;1;12.300,00;;WhatsApp;entregado
OP-10269;03/06/2026;VEN-05;CLI-1027;PRD-118;5;8.450,00;0;Preventa;ENTREGADO
OP-10270;03/06/2026;VEN-01;CLI-1032;PRD-204;3;12.300,00;0;Preventa;Entreg.
OP-10278;03/06/2026;VEN-03;CLI-1019;PRD-204;4;12.300,00;;WhatsApp;pendiente
OP-10305;03/06/2026;VEN-04;CLI-1036;PRD-091;11;4.980,00;3;Preventa;Anulado
OP-10363;03/06/2026;VEN-05;CLI-1008;PRD-412;13;9.900,00;3;Preventa;Entreg.
OP-10376;03/06/2026;VEN-04;CLI-1036;PRD-204;21;12.300,00;11;Preventa;Entregado
OP-10391;03/06/2026;VEN-03;CLI-1007;PRD-091;42;4.980,00;10;Preventa;Entregado
OP-10418;03/06/2026;VEN-05;CLI-1015;PRD-118;8;8.450,00;0;Preventa;entregado
OP-10029;04/06/2026;VEN-02;CLI-1013;PRD-118 ;9;8.450,00;0;WhatsApp;Entreg.
OP-10030;04/06/2026;VEN-05;CLI-1015;PRD-412;30;0;0;Preventa;Entregado
OP-10075;04/06/2026;VEN-01;CLI-1007;PRD-412;3;9.900,00;0;WhatsApp;Entregado
OP-10094;04/06/2026;VEN-01;CLI-1019;PRD-118;2;8.450,00;0;Preventa;Entregado
OP-10118;04/06/2026;VEN-06;CLI-1027;PRD-330;1;6.700,00;0;WhatsApp;Entregado
OP-10137;04/06/2026;VEN-03;CLI-1036;PRD-118;6;8.450,00;0;Preventa;Entregado
OP-10142;04/06/2026;VEN-04;CLI-1021;PRD-204;11;12.300,00;3;Preventa;ENTREGADO
OP-10151;04/06/2026;VEN-01;CLI-1019;PRD-091;1;4.980,00;0;WhatsApp;Entregado
OP-10155;04/06/2026;VEN-07;CLI-1050;PRD-091;3;4.980,00;;E-commerce;Entregado
OP-10184;2026-06-04;VEN-01;CLI-1019;PRD-204;15;12.300,00;1;WhatsApp;Entregado
OP-10253;04/06/2026;VEN-02;CLI-1013;PRD-204;7;12.300,00;0;Preventa;Entregado
OP-10254;04/06/2026;VEN-05;CLI-1015;PRD-204;22;12.300,00;;Preventa;entregado
OP-10287;04/06/2026;VEN-01;CLI-1007;PRD-204;7;12.300,00;0;Preventa;Entregado
OP-10324;04/06/2026;VEN-05;CLI-1015;PRD-091;33;4.980,00;6;WhatsApp;Entregado
OP-10330;04/06/2026;VEN-06;CLI-1050;PRD-330;6;6.700,00;;E-commerce;Entregado
OP-10337;04/06/2026;VEN-05;CLI-1008;PRD-204;2;12.300,00;0;Preventa;Entregado
OP-10351;04/06/2026;VEN-03;CLI-1032;PRD-330;20;6.700,00;6;WhatsApp;Entregado
OP-10367;04/06/2026;VEN-02;CLI-1013;PRD-091;1;4.980,00;0;Preventa;Entregado
OP-10369;04/06/2026;VEN-01;CLI-1032;PRD-118;1;8.450,00;0;Preventa;Entregado
OP-10371;04/06/2026;VEN-04;CLI-1021;PRD-118;10;8.450,00;9;WhatsApp;Entregado
OP-10400;04/06/2026;VEN-01;CLI-1007;PRD-330;5;6.700,00;0;Preventa;Entregado
OP-10404;04/06/2026;VEN-05;CLI-1008;PRD-330;5;6.700,00;0;Preventa;Entregado
OP-10405;04/06/2026;VEN-03;CLI-1019;PRD-118;2;8.450,00;0;Telefónico;Entregado
OP-10407;04/06/2026;VEN-02;CLI-1013;PRD-330;24;6.700,00;6;Telefónico;Entregado
OP-10407;04/06/2026;VEN-02;CLI-1013;PRD-330;24;6.700,00;6;Telefónico;Entregado
OP-10411;04/06/2026;VEN-01;CLI-1019;PRD-118;21;8.450,00;6;Preventa;Entregado
OP-10414;04/06/2026;VEN-02;CLI-1013;PRD-412;6;9.900,00;0;Preventa;Entreg.
OP-10421;04/06/2026;VEN-01;CLI-1002;PRD-091;10;4.980,00;3;Preventa;Pendiente
OP-10031;2026-06-05;VEN-07;CLI-1008;PRD-330;14;6.700,00;3;Preventa;Entregado
OP-10032;05/06/2026;VEN-04;CLI-1021;PRD-204;4;12.300,00;0;Telefónico;pendiente
OP-10033;05/06/2026;VEN-03;CLI-1019;PRD-091;18;4.980,00;;Preventa;Entregado
OP-10096;05/06/2026;VEN-01;CLI-1007;PRD-118;7;8.450,00;0;WhatsApp;Entregado
OP-10100;05/06/2026;VEN-01;CLI-1019;PRD-091;3;4.980,00;0;Preventa;Entregado
OP-10115;05/06/2026;VEN-01;CLI-1019;PRD-330;18;6.700,00;3;Preventa;Entregado
OP-10116;05/06/2026;VEN-06;CLI-1050;PRD-091;6;4.980,00;0;E-commerce;Entregado
OP-10168;05/06/2026;VEN-06;CLI-1050;PRD-118;8;8.450,00;0;E-commerce;Entregado
OP-10181;05/06/2026;VEN-01;CLI-1002;PRD-330;6;6.700,00;0;Preventa;ENTREGADO
OP-10224;05/06/2026;VEN-04;CLI-1036;PRD-330;8;6.700,00;8;Preventa;Entregado
OP-10303;05/06/2026;VEN-02;CLI-1013;PRD-204;5;12.300,00;0;Preventa;Entregado
OP-10320;05/06/2026;VEN-03;CLI-1002;PRD-330;6;6.700,00;0;Telefónico;Entregado
OP-10365;05/06/2026;VEN-05;CLI-1015;PRD-118;4;8.450,00;0;Preventa;Entregado
OP-10386;05/06/2026;VEN-02;CLI-1013;PRD-091;10;4.980,00;3;Preventa;Entregado
OP-10388;05/06/2026;VEN-06;CLI-1050;PRD-330;6;6.700,00;0;E-commerce;Entregado
OP-10034;08/06/2026;VEN-06;CLI-1050;PRD-412;25;9.900,00;15;E-commerce;Entregado
OP-10035;08/06/2026;VEN-01;CLI-1002;PRD-118;11;8.450,00;3;Preventa;Entregado
OP-10058;08/06/2026;VEN-06;CLI-1050;PRD-091;2;4.980,00;0;E-commerce;Entregado
OP-10087;2026-06-08;VEN-04;CLI-1021;PRD-330;5;6.700,00;0;Preventa;Entregado
OP-10093;08/06/2026;VEN-03;CLI-1019;PRD-204;14;12.300,00;1;Preventa;Entregado
OP-10104;08/06/2026;VEN-04;CLI-1021;PRD-091;11;4.980,00;3;Telefónico;Entregado
OP-10114;08/06/2026;VEN-02;CLI-1013;PRD-118;3;8.450,00;0;Telefónico;Pendiente
OP-10130;08/06/2026;VEN-04;CLI-1021;PRD-118;5;8.450,00;0;Preventa;Entregado
OP-10132;08/06/2026;VEN-05;CLI-1008;PRD-091;1;4.980,00;0;Telefónico;Entreg.
OP-10157;08/06/2026;VEN-05;CLI-1008;PRD-204;8;12.300,00;0;WhatsApp;Entregado
OP-10202;08/06/2026;VEN-02;CLI-1013;PRD-118;3;8.450,00;0;Preventa;Pendiente
OP-10206;08/06/2026;VEN-05;CLI-1008;PRD-204;10;12.300,00;3;Telefónico;Pendiente
OP-10217;08/06/2026;VEN-05;CLI-1027;PRD-091;9;4.980,00;0;WhatsApp;Entregado
OP-10223;08/06/2026;VEN-06;CLI-1050;PRD-412;2;9.900,00;0;E-commerce;Entregado
OP-10234;08/06/2026;VEN-05;CLI-1015;PRD-091;8;4.980,00;0;Preventa;Entregado
OP-10238;08/06/2026;VEN-05;CLI-1015;PRD-118;3;8.450,00;0;WhatsApp;Entregado
OP-10290;08/06/2026;VEN-04;CLI-1021;PRD-330;3;6.700,00;0;Preventa;Entregado
OP-10294;08/06/2026;VEN-05;CLI-1015;PRD-091;21;4.980,00;;WhatsApp;Entregado
OP-10295;2026-06-08;VEN-03;CLI-1019;PRD-412;5;9.900,00;;Preventa;Anulado
OP-10300;08/06/2026;VEN-03;CLI-1032;PRD-118;5;8.450,00;0;WhatsApp;Entregado
OP-10302;08/06/2026;VEN-02;CLI-1013;PRD-118;42;8.450,00;10;Preventa;ENTREGADO
OP-10308;08/06/2026;VEN-05;CLI-1027;PRD-412;22;9.900,00;6;Preventa;Entregado
OP-10316;08/06/2026;VEN-03;CLI-1002;PRD-091;2;4.980,00;0;Telefónico;Entregado
OP-10334;08/06/2026;VEN-04;CLI-1044;PRD-118;14;8.450,00;;Preventa;Entregado
OP-10348;08/06/2026;VEN-05;CLI-1008;PRD-091;6;4.980,00;0;Telefónico;Anulado
OP-10366;08/06/2026;VEN-06;CLI-1050;PRD-330;6;6.700,00;;E-commerce;Entregado
OP-10398;08/06/2026;VEN-04;CLI-1021;PRD-412;2;9.900,00;;Preventa;Entregado
OP-10036;09/06/2026;VEN-02;CLI-1013;PRD-330;7;6.700,00;0;WhatsApp;Entregado
OP-10037;09/06/2026;VEN-05;CLI-1027;PRD-204;13;12.300,00;3;Preventa;Entregado
OP-10042;09/06/2026;VEN-03;CLI-1002;PRD-330;17;6.700,00;3;Preventa;Entregado
OP-10053;09/06/2026;VEN-05;CLI-1027;PRD-330;41;6.700,00;;Telefónico;Anulado
OP-10152;09/06/2026;VEN-04;CLI-1036;PRD-330;42;6.700,00;18;Preventa;Entreg.
OP-10167;09/06/2026;VEN-03;CLI-1032;PRD-091;4;4.980,00;0;Preventa;Entregado
OP-10171;09/06/2026;VEN-04;CLI-1036;PRD-091;3;4.980,00;0;WhatsApp;Pendiente
OP-10230;09/06/2026;VEN-02;CLI-1013;PRD-091;5;4.980,00;0;Preventa;Entregado
OP-10236;09/06/2026;VEN-06;CLI-1050;PRD-330;4;6.700,00;0;WhatsApp;Pendiente
OP-10247;09/06/2026;VEN-03;CLI-1007;PRD-091;41;4.980,00;;Preventa;Entregado
OP-10263;09/06/2026;VEN-01;CLI-1007;PRD-091;29;4.980,00;;Telefónico;Entregado
OP-10373;09/06/2026;VEN-01;CLI-1032;PRD-330;7;6.700,00;0;Preventa;Entreg.
OP-10375;09/06/2026;VEN-04;CLI-1021;PRD-118;5;8.450,00;0;Preventa;Entregado
OP-10378;09/06/2026;VEN-01;CLI-1019;PRD-660;43;7.300,00;;WhatsApp;Entregado
OP-10422;09/06/2026;VEN-04;CLI-1036;PRD-412;11;9.900,00;3;WhatsApp;Pendiente
OP-10038;10/06/2026;VEN-03;CLI-1007;PRD-412;16;9.900,00;3;Preventa;Entregado
OP-10039;10/06/2026;VEN-04;CLI-1036;PRD-091;5;4.980,00;;Telefónico;Anulado
OP-10166;10/06/2026;VEN-01;CLI-1032;PRD-118;7;8.450,00;0;Telefónico;Entregado
OP-10192;10/06/2026;VEN-03;CLI-1019;PRD-091;1;4.980,00;0;Telefónico;Entregado
OP-10231;10/06/2026;VEN-04;CLI-1036;PRD-412;4;9.900,00;0;WhatsApp;Entregado
OP-10237;10/06/2026;VEN-03;CLI-1002;PRD-412;2;9.900,00;0;Preventa;Entregado
OP-10262;10/06/2026;VEN-02;CLI-1007;PRD-330;8;6.700,00;0;Telefónico;Entreg.
OP-10288;10/06/2026;VEN-01;CLI-1032;PRD-091;12;4.980,00;1;Preventa;Entregado
OP-10296;10/06/2026;VEN-05;CLI-1027;PRD-412;2;9.900,00;0;Preventa;Entregado
OP-10299;10/06/2026;VEN-05;CLI-1015;PRD-118;21;8.450,00;;WhatsApp;Anulado
OP-10319;10/06/2026;VEN-04;CLI-1021;PRD-091;10;4.980,00;3;Preventa;Entregado
OP-10385;10/06/2026;VEN-03;CLI-1007;PRD-118;5;8.450,00;0;Preventa;Entregado
OP-10390;10/06/2026;VEN-03;CLI-1002;PRD-091;4;4.980,00;;Telefónico;pendiente
OP-10399;10/06/2026;VEN-06;CLI-1050;PRD-091;9;4.980,00;;E-commerce;Entregado
OP-10402;10/06/2026;VEN-01;CLI-1032;PRD-204;11;12.300,00;3;Preventa;Entregado
OP-10403;10/06/2026;VEN-04;CLI-1036;PRD-204;3;12.300,00;0;Preventa;Entregado
OP-10420;10/06/2026;VEN-03;CLI-1019;PRD-412;5;9.900,00;0;Telefónico;Entregado
OP-10063;11/06/2026;VEN-01;CLI-1032;PRD-204;8;12.300,00;0;Telefónico;Entregado
OP-10065;11/06/2026;VEN-05;CLI-1008;PRD-412;9;9.900,00;0;Telefónico;Entregado
OP-10089;11/06/2026;VEN-03;CLI-1002;PRD-118;1;8.450,00;0;WhatsApp;ENTREGADO
OP-10125;11/06/2026;VEN-05;CLI-1027;PRD-204;5;12.300,00;0;Preventa;Entregado
OP-10175;11/06/2026;VEN-01;CLI-1002;PRD-118;4;8.450,00;0;Preventa;Entregado
OP-10219;11/06/2026;VEN-01;CLI-1032;PRD-330;2;6.700,00;0;Telefónico;Entregado
OP-10228;11/06/2026;VEN-03;CLI-1013;PRD-204;7;12.300,00;0;Telefónico;Entregado
OP-10233;11/06/2026;VEN-03;CLI-1007;PRD-118;13;8.450,00;1;WhatsApp;Entregado
OP-10239;11/06/2026;VEN-03;CLI-1002;PRD-118;12;8.450,00;2;WhatsApp;Entregado
OP-10261;11/06/2026;VEN-01;CLI-1002;PRD-204;10;12.300,00;1;Preventa;Entregado
OP-10276;11/06/2026;VEN-03;CLI-1007;PRD-204;2;12.300,00;0;Telefónico;Entregado
OP-10284;2026-06-11;VEN-04;CLI-1021;PRD-204;6;12.300,00;0;WhatsApp;Anulado
OP-10318;11/06/2026;VEN-02;CLI-1013;PRD-412;18;9.900,00;3;Preventa;Anulado
OP-10339;11/06/2026;VEN-02;CLI-1013;PRD-330;1;6.700,00;0;WhatsApp;Anulado
OP-10362;11/06/2026;VEN-05;CLI-1008;PRD-330;4;6.700,00;0;Preventa;ENTREGADO
OP-10377;11/06/2026;VEN-01;CLI-1032;PRD-091;1;4.980,00;0;Preventa;Entregado
OP-10379;11/06/2026;VEN-05;CLI-1008;PRD-412;3;9.900,00;0;Telefónico;entregado
OP-10393;11/06/2026;VEN-04;CLI-1036;PRD-091;4;4.980,00;0;Preventa;Entregado
OP-10048;12/06/2026;VEN-05;CLI-1027;PRD-118;2;8.450,00;0;Preventa;Entregado
OP-10049;12/06/2026;VEN-04;CLI-1021;PRD-204 ;4;12.300,00;0;Preventa;Entregado
OP-10056;12/06/2026;VEN-05;CLI-1015;PRD-330;12;6.700,00;3;Preventa;Anulado
OP-10110;12/06/2026;VEN-01;CLI-1027;PRD-091;3;4.980,00;0;Preventa;entregado
OP-10135;2026-06-12;VEN-05;CLI-1027;PRD-330;11;6.700,00;;Preventa;Entregado
OP-10136;12/06/2026;VEN-02;CLI-1013;PRD-118;8;8.450,00;0;Preventa;Entreg.
OP-10139;2026-06-12;VEN-06;CLI-1050;PRD-091;2;4.980,00;0;E-commerce;Entregado
OP-10148;12/06/2026;VEN-03;CLI-1019;PRD-118;4;8.450,00;0;Preventa;entregado
OP-10163;12/06/2026;VEN-01;CLI-1032;PRD-118;29;0;6;Preventa;Entregado
OP-10194;12/06/2026;VEN-03;CLI-1032;PRD-330;5;6.700,00;0;Preventa;Entreg.
OP-10257;12/06/2026;VEN-05;CLI-1015;PRD-091;9;4.980,00;0;Preventa;Entregado
OP-10273;12/06/2026;VEN-03;CLI-1007;PRD-330;1;6.700,00;0;Telefónico;Entregado
OP-10307;12/06/2026;VEN-05;CLI-1015;PRD-091;1;4.980,00;0;Telefónico;Entregado
OP-10309;12/06/2026;VEN-04;CLI-1021;PRD-091;3;4.980,00;0;WhatsApp;Entregado
OP-10416;12/06/2026;VEN-06;CLI-1050;PRD-412;4;9.900,00;0;Telefónico;Entregado
OP-10057;15/06/2026;VEN-02;CLI-1050;PRD-091;9;4.980,00;0;E-commerce;Entregado
OP-10068;15/06/2026;VEN-04;CLI-1021;PRD-118;6;8.450,00;;Preventa;Pendiente
OP-10071;15/06/2026;VEN-03;CLI-1019;PRD-330;7;6.700,00;0;Preventa;Entregado
OP-10090;15/06/2026;VEN-05;CLI-1027;PRD-330;6;6.700,00;0;Preventa;Entregado
OP-10103;15/06/2026;VEN-05;CLI-1008;PRD-118;1;8.450,00;0;Telefónico;Entregado
OP-10119;15/06/2026;VEN-05;CLI-1008;PRD-412;3;9.900,00;0;Telefónico;Anulado
OP-10122;15/06/2026;VEN-04;CLI-1021;PRD-204;8;12.300,00;0;WhatsApp;Entregado
OP-10149;15/06/2026;VEN-05;CLI-1027;PRD-412;4;9.900,00;0;Preventa;Entregado
OP-10170;15/06/2026;VEN-03;CLI-1019;PRD-204;7;12.300,00;0;WhatsApp;Entregado
OP-10182;15/06/2026;VEN-05;CLI-1008;PRD-330;4;6.700,00;0;WhatsApp;Entregado
OP-10187;15/06/2026;VEN-01;CLI-1032;PRD-412;22;9.900,00;5;WhatsApp;Pendiente
OP-10196;2026-06-15;VEN-06;CLI-1050;PRD-091;3;4.980,00;0;E-commerce;Entregado
OP-10203;15/06/2026;VEN-07;CLI-1002;PRD-412;5;9.900,00;0;WhatsApp;Entregado
OP-10222;15/06/2026;VEN-03;CLI-1019;PRD-204;10;12.300,00;2;WhatsApp;Entreg.
OP-10226;2026-06-15;VEN-07;CLI-1032;PRD-091;42;4.980,00;8;Telefónico;Entregado
OP-10226;2026-06-15;VEN-07;CLI-1032;PRD-091;42;4.980,00;8;Telefónico;Entregado
OP-10227;15/06/2026;VEN-05;CLI-1015;PRD-412;3;9.900,00;;WhatsApp;Entregado
OP-10227;15/06/2026;VEN-05;CLI-1015;PRD-412;3;9.900,00;;WhatsApp;Entregado
OP-10272;15/06/2026;VEN-02;CLI-1013;PRD-412;5;9.900,00;0;Preventa;Entregado
OP-10281;15/06/2026;VEN-03;CLI-1007;PRD-118;5;8.450,00;0;Preventa;Entregado
OP-10285;15/06/2026;VEN-02;CLI-1013;PRD-412;3;9.900,00;0;WhatsApp;ENTREGADO
OP-10285;15/06/2026;VEN-02;CLI-1013;PRD-412;3;9.900,00;0;WhatsApp;ENTREGADO
OP-10332;15/06/2026;VEN-05;CLI-1027;PRD-118;5;8.450,00;;Preventa;pendiente
OP-10343;15/06/2026;VEN-02;CLI-1013;PRD-091;4;4.980,00;0;Preventa;Entregado
OP-10356;15/06/2026;VEN-04;CLI-1021;PRD-204;9;12.300,00;0;Preventa;ENTREGADO
OP-10396;15/06/2026;VEN-03;CLI-1007;PRD-330;15;6.700,00;3;Preventa;ENTREGADO
OP-10406;15/06/2026;VEN-04;CLI-1021;PRD-091;9;4.980,00;0;Telefónico;Entregado
OP-10409;15/06/2026;VEN-06;CLI-1050;PRD-091;3;4.980,00;0;E-commerce;Entregado
OP-10047;16/06/2026;VEN-04;CLI-1021;PRD-091;4;4.980,00;;Preventa;pendiente
OP-10083;16/06/2026;VEN-05;CLI-1027;PRD-091;10;4.980,00;3;WhatsApp;Entregado
OP-10091;16/06/2026;VEN-03;CLI-1019;PRD-091;10;4.980,00;1;Preventa;Entregado
OP-10097;2026-06-16;VEN-04;CLI-1002;PRD-330;11;6.700,00;3;Telefónico;Entreg.
OP-10117;16/06/2026;VEN-04;CLI-1036;PRD-118;1;8.450,00;;Preventa;Entregado
OP-10124;16/06/2026;VEN-04;CLI-1021;PRD-091;2;4.980,00;;WhatsApp;Entregado
OP-10128;16/06/2026;VEN-02;CLI-1013;PRD-204;4;12.300,00;0;Preventa;Entregado
OP-10134;16/06/2026;VEN-01;CLI-1002;PRD-118;-3;8.450,00;0;Preventa;Entreg.
OP-10138;16/06/2026;VEN-04;CLI-1036;PRD-330;8;6.700,00;0;WhatsApp;Entregado
OP-10141;16/06/2026;VEN-06;CLI-1050;PRD-091 ;7;4.980,00;0;Preventa;Entregado
OP-10145;16/06/2026;VEN-02;CLI-1013;PRD-330;3;6.700,00;0;Preventa;entregado
OP-10160;16/06/2026;VEN-02;CLI-1013;PRD-091;1;4.980,00;0;WhatsApp;Entregado
OP-10183;16/06/2026;VEN-07;CLI-1032;PRD-091;27;4.980,00;6;Preventa;Anulado
OP-10235;16/06/2026;VEN-03;CLI-1002;PRD-091;2;4.980,00;0;Preventa;Entregado
OP-10279;16/06/2026;VEN-02;CLI-1013;PRD-412;1;9.900,00;0;WhatsApp;Entregado
OP-10280;16/06/2026;VEN-01;CLI-1019;PRD-412;4;9.900,00;0;WhatsApp;Pendiente
OP-10338;16/06/2026;VEN-01;CLI-1002;PRD-118;21;8.450,00;6;WhatsApp;Entregado
OP-10350;16/06/2026;VEN-03;CLI-1002;PRD-118;1;8.450,00;0;WhatsApp;Entregado
OP-10358;16/06/2026;VEN-05;CLI-1027;PRD-118;13;8.450,00;;Preventa;Entregado
OP-10372;2026-06-16;VEN-06;CLI-1050;PRD-091;3;4.980,00;0;E-commerce;Entreg.
OP-10372;2026-06-16;VEN-06;CLI-1050;PRD-091;3;4.980,00;0;E-commerce;Entreg.
OP-10060;17/06/2026;VEN-04;CLI-1021;PRD-091;1;4.980,00;0;Preventa;Entregado
OP-10062;17/06/2026;VEN-03;CLI-1019;PRD-330;1;0;0;WhatsApp;Entregado
OP-10067;17/06/2026;VEN-03;CLI-1019;PRD-091;9;4.980,00;0;Preventa;Entregado
OP-10158;17/06/2026;VEN-02;CLI-1013;PRD-091;4;4.980,00;0;Preventa;Entregado
OP-10164;17/06/2026;VEN-02;CLI-1013;PRD-091;9;4.980,00;0;Preventa;Entregado
OP-10200;17/06/2026;VEN-01;CLI-1019;PRD-330;5;6.700,00;0;Preventa;pendiente
OP-10210;2026-06-17;VEN-05;CLI-1008;PRD-330;4;6.700,00;;Preventa;Anulado
OP-10215;17/06/2026;VEN-05;CLI-1027;PRD-118;2;8.450,00;0;Telefónico;Anulado
OP-10271;17/06/2026;VEN-06;CLI-1050;PRD-091;9;4.980,00;;E-commerce;Entregado
OP-10277;17/06/2026;VEN-05;CLI-1015;PRD-091;3;4.980,00;0;Preventa;Entreg.
OP-10283;17/06/2026;VEN-05;CLI-1008;PRD-204;7;12.300,00;0;Telefónico;Entregado
OP-10340;17/06/2026;VEN-05;CLI-1050;PRD-204;5;12.300,00;0;Preventa;ENTREGADO
OP-10046;18/06/2026;VEN-07;CLI-1019;PRD-118;2;8.450,00;0;Preventa;Entregado
OP-10051;18/06/2026;VEN-06;CLI-1050;PRD-091;4;4.980,00;0;E-commerce;Entregado
OP-10081;18/06/2026;VEN-04;CLI-1036;PRD-330;3;6.700,00;0;Preventa;Entregado
OP-10088;18/06/2026;VEN-02;CLI-1007;PRD-118;6;8.450,00;0;Preventa;Entregado
OP-10150;18/06/2026;VEN-03;CLI-1032;PRD-412;2;9.900,00;0;Preventa;Entregado
